geometry,score,showroom_score
POINT (714315.0020715444 3146199.2900104844),9,18
POINT (714315.0020715444 3146449.2900104844),9,18
POINT (714315.0020715444 3146699.2900104844),4,28
POINT (714315.0020715444 3146949.2900104844),11,16
POINT (714315.0020715444 3147199.2900104844),11,16
POINT (714315.0020715444 3147449.2900104844),11,16
POINT (714315.0020715444 3147699.2900104844),11,16
POINT (714315.0020715444 3147949.2900104844),11,16
POINT (714315.0020715444 3148199.2900104844),11,16
POINT (714315.0020715444 3148449.2900104844),11,16
POINT (714315.0020715444 3148699.2900104844),11,16
POINT (714315.0020715444 3148949.2900104844),11,16
POINT (714315.0020715444 3149199.2900104844),11,16
POINT (714315.0020715444 3149449.2900104844),11,16
POINT (714315.0020715444 3149699.2900104844),11,16
POINT (714315.0020715444 3149949.2900104844),11,14
POINT (714315.0020715444 3150199.2900104844),11,16
POINT (714315.0020715444 3150449.2900104844),11,16
POINT (714315.0020715444 3150699.2900104844),11,16
POINT (714315.0020715444 3150949.2900104844),11,16
POINT (714315.0020715444 3151199.2900104844),11,16
POINT (714315.0020715444 3151449.2900104844),11,16
POINT (714315.0020715444 3151699.2900104844),11,16
POINT (714315.0020715444 3151949.2900104844),13,12
POINT (714315.0020715444 3152199.2900104844),11,16
POINT (714315.0020715444 3152449.2900104844),11,16
POINT (714315.0020715444 3152699.2900104844),4,28
POINT (714315.0020715444 3152949.2900104844),4,28
POINT (714315.0020715444 3153199.2900104844),11,16
POINT (714315.0020715444 3153449.2900104844),11,16
POINT (714315.0020715444 3153699.2900104844),11,16
POINT (714315.0020715444 3153949.2900104844),11,16
POINT (714315.0020715444 3154199.2900104844),11,16
POINT (714315.0020715444 3154449.2900104844),11,16
POINT (714315.0020715444 3154699.2900104844),11,16
POINT (714315.0020715444 3154949.2900104844),11,16
POINT (714315.0020715444 3155199.2900104844),11,9
POINT (714315.0020715444 3155449.2900104844),5,0
POINT (714315.0020715444 3155699.2900104844),11,16
POINT (714315.0020715444 3155949.2900104844),5,0
POINT (714315.0020715444 3156199.2900104844),11,9
POINT (714315.0020715444 3156449.2900104844),4,28
POINT (714315.0020715444 3156699.2900104844),11,19
POINT (714315.0020715444 3156949.2900104844),-4,29
POINT (714315.0020715444 3157199.2900104844),11,19
POINT (714315.0020715444 3157449.2900104844),-1,28
POINT (714315.0020715444 3157699.2900104844),-4,24
POINT (714315.0020715444 3157949.2900104844),11,16
POINT (714315.0020715444 3158199.2900104844),1,6
POINT (714315.0020715444 3158449.2900104844),1,6
POINT (714315.0020715444 3158699.2900104844),4,28
POINT (714315.0020715444 3158949.2900104844),19,19
POINT (714315.0020715444 3159199.2900104844),11,8
POINT (714315.0020715444 3159449.2900104844),14,11
POINT (714315.0020715444 3159699.2900104844),12,13
POINT (714315.0020715444 3159949.2900104844),19,19
POINT (714315.0020715444 3160199.2900104844),5,0
POINT (714315.0020715444 3160449.2900104844),3,-4
POINT (714315.0020715444 3160699.2900104844),11,4
POINT (714315.0020715444 3160949.2900104844),11,4
POINT (714315.0020715444 3161199.2900104844),2,20
POINT (714565.0020715444 3144699.2900104844),-10,-10
POINT (714565.0020715444 3144949.2900104844),-10,-10
POINT (714565.0020715444 3145199.2900104844),-4,6
POINT (714565.0020715444 3145449.2900104844),4,18
POINT (714565.0020715444 3145699.2900104844),4,18
POINT (714565.0020715444 3145949.2900104844),4,18
POINT (714565.0020715444 3146199.2900104844),9,18
POINT (714565.0020715444 3146449.2900104844),4,28
POINT (714565.0020715444 3146699.2900104844),11,16
POINT (714565.0020715444 3146949.2900104844),11,16
POINT (714565.0020715444 3147199.2900104844),11,16
POINT (714565.0020715444 3147449.2900104844),11,16
POINT (714565.0020715444 3147699.2900104844),11,16
POINT (714565.0020715444 3147949.2900104844),11,16
POINT (714565.0020715444 3148199.2900104844),3,22
POINT (714565.0020715444 3148449.2900104844),11,16
POINT (714565.0020715444 3148699.2900104844),11,16
POINT (714565.0020715444 3148949.2900104844),11,16
POINT (714565.0020715444 3149199.2900104844),11,16
POINT (714565.0020715444 3149449.2900104844),11,16
POINT (714565.0020715444 3149699.2900104844),11,16
POINT (714565.0020715444 3149949.2900104844),11,14
POINT (714565.0020715444 3150199.2900104844),11,14
POINT (714565.0020715444 3150449.2900104844),11,16
POINT (714565.0020715444 3150699.2900104844),11,16
POINT (714565.0020715444 3150949.2900104844),11,16
POINT (714565.0020715444 3151199.2900104844),11,16
POINT (714565.0020715444 3151449.2900104844),11,16
POINT (714565.0020715444 3151699.2900104844),11,16
POINT (714565.0020715444 3151949.2900104844),11,9
POINT (714565.0020715444 3152199.2900104844),11,16
POINT (714565.0020715444 3152449.2900104844),11,16
POINT (714565.0020715444 3152699.2900104844),11,16
POINT (714565.0020715444 3152949.2900104844),11,16
POINT (714565.0020715444 3153199.2900104844),11,16
POINT (714565.0020715444 3153449.2900104844),11,16
POINT (714565.0020715444 3153699.2900104844),11,16
POINT (714565.0020715444 3153949.2900104844),11,16
POINT (714565.0020715444 3154199.2900104844),11,16
POINT (714565.0020715444 3154449.2900104844),11,16
POINT (714565.0020715444 3154699.2900104844),11,16
POINT (714565.0020715444 3154949.2900104844),11,16
POINT (714565.0020715444 3155199.2900104844),11,16
POINT (714565.0020715444 3155449.2900104844),5,0
POINT (714565.0020715444 3155699.2900104844),5,0
POINT (714565.0020715444 3155949.2900104844),5,0
POINT (714565.0020715444 3156199.2900104844),11,16
POINT (714565.0020715444 3156449.2900104844),11,16
POINT (714565.0020715444 3156699.2900104844),5,0
POINT (714565.0020715444 3156949.2900104844),11,12
POINT (714565.0020715444 3157199.2900104844),11,19
POINT (714565.0020715444 3157449.2900104844),11,16
POINT (714565.0020715444 3157699.2900104844),11,16
POINT (714565.0020715444 3157949.2900104844),17,23
POINT (714565.0020715444 3158199.2900104844),2,20
POINT (714565.0020715444 3158449.2900104844),11,16
POINT (714565.0020715444 3158699.2900104844),11,19
POINT (714565.0020715444 3158949.2900104844),11,16
POINT (714565.0020715444 3159199.2900104844),11,8
POINT (714565.0020715444 3159449.2900104844),11,7
POINT (714565.0020715444 3159699.2900104844),22,23
POINT (714565.0020715444 3159949.2900104844),11,16
POINT (714565.0020715444 3160199.2900104844),3,8
POINT (714565.0020715444 3160449.2900104844),-12,3
POINT (714565.0020715444 3160699.2900104844),5,0
POINT (714565.0020715444 3160949.2900104844),5,0
POINT (714565.0020715444 3161199.2900104844),11,16
POINT (714815.0020715444 3144699.2900104844),-10,-10
POINT (714815.0020715444 3144949.2900104844),4,11
POINT (714815.0020715444 3145199.2900104844),4,18
POINT (714815.0020715444 3145449.2900104844),-2,2
POINT (714815.0020715444 3145699.2900104844),-10,-10
POINT (714815.0020715444 3145949.2900104844),-10,-10
POINT (714815.0020715444 3146199.2900104844),-4,-1
POINT (714815.0020715444 3146449.2900104844),11,16
POINT (714815.0020715444 3146699.2900104844),11,16
POINT (714815.0020715444 3146949.2900104844),11,16
POINT (714815.0020715444 3147199.2900104844),11,16
POINT (714815.0020715444 3147449.2900104844),11,16
POINT (714815.0020715444 3147699.2900104844),11,16
POINT (714815.0020715444 3147949.2900104844),11,16
POINT (714815.0020715444 3148199.2900104844),11,16
POINT (714815.0020715444 3148449.2900104844),11,16
POINT (714815.0020715444 3148699.2900104844),11,16
POINT (714815.0020715444 3148949.2900104844),11,16
POINT (714815.0020715444 3149199.2900104844),11,16
POINT (714815.0020715444 3149449.2900104844),11,16
POINT (714815.0020715444 3149699.2900104844),1,22
POINT (714815.0020715444 3149949.2900104844),1,22
POINT (714815.0020715444 3150199.2900104844),1,22
POINT (714815.0020715444 3150449.2900104844),11,16
POINT (714815.0020715444 3150699.2900104844),11,16
POINT (714815.0020715444 3150949.2900104844),11,16
POINT (714815.0020715444 3151199.2900104844),11,16
POINT (714815.0020715444 3151449.2900104844),11,16
POINT (714815.0020715444 3151699.2900104844),11,16
POINT (714815.0020715444 3151949.2900104844),11,16
POINT (714815.0020715444 3152199.2900104844),11,16
POINT (714815.0020715444 3152449.2900104844),5,0
POINT (714815.0020715444 3152699.2900104844),11,16
POINT (714815.0020715444 3152949.2900104844),11,16
POINT (714815.0020715444 3153199.2900104844),11,16
POINT (714815.0020715444 3153449.2900104844),5,0
POINT (714815.0020715444 3153699.2900104844),11,16
POINT (714815.0020715444 3153949.2900104844),11,16
POINT (714815.0020715444 3154199.2900104844),11,16
POINT (714815.0020715444 3154449.2900104844),11,16
POINT (714815.0020715444 3154699.2900104844),11,16
POINT (714815.0020715444 3154949.2900104844),11,16
POINT (714815.0020715444 3155199.2900104844),11,16
POINT (714815.0020715444 3155449.2900104844),11,16
POINT (714815.0020715444 3155699.2900104844),11,16
POINT (714815.0020715444 3155949.2900104844),11,16
POINT (714815.0020715444 3156199.2900104844),11,16
POINT (714815.0020715444 3156449.2900104844),11,9
POINT (714815.0020715444 3156699.2900104844),5,0
POINT (714815.0020715444 3156949.2900104844),4,28
POINT (714815.0020715444 3157199.2900104844),2,20
POINT (714815.0020715444 3157449.2900104844),2,20
POINT (714815.0020715444 3157699.2900104844),17,13
POINT (714815.0020715444 3157949.2900104844),27,33
POINT (714815.0020715444 3158199.2900104844),17,23
POINT (714815.0020715444 3158449.2900104844),12,23
POINT (714815.0020715444 3158699.2900104844),10,17
POINT (714815.0020715444 3158949.2900104844),19,16
POINT (714815.0020715444 3159199.2900104844),19,16
POINT (714815.0020715444 3159449.2900104844),18,14
POINT (714815.0020715444 3159699.2900104844),18,19
POINT (714815.0020715444 3159949.2900104844),3,8
POINT (714815.0020715444 3160199.2900104844),11,16
POINT (714815.0020715444 3160449.2900104844),-12,28
POINT (714815.0020715444 3160699.2900104844),-4,36
POINT (714815.0020715444 3160949.2900104844),5,0
POINT (714815.0020715444 3161199.2900104844),11,16
POINT (714815.0020715444 3161449.2900104844),3,8
POINT (715065.0020715444 3144699.2900104844),4,18
POINT (715065.0020715444 3144949.2900104844),-2,2
POINT (715065.0020715444 3145199.2900104844),4,11
POINT (715065.0020715444 3145449.2900104844),-10,-10
POINT (715065.0020715444 3145699.2900104844),-10,-10
POINT (715065.0020715444 3145949.2900104844),-10,-10
POINT (715065.0020715444 3146199.2900104844),-10,-10
POINT (715065.0020715444 3146449.2900104844),11,16
POINT (715065.0020715444 3146699.2900104844),11,16
POINT (715065.0020715444 3146949.2900104844),11,16
POINT (715065.0020715444 3147199.2900104844),11,16
POINT (715065.0020715444 3147449.2900104844),11,16
POINT (715065.0020715444 3147699.2900104844),11,16
POINT (715065.0020715444 3147949.2900104844),11,16
POINT (715065.0020715444 3148199.2900104844),11,16
POINT (715065.0020715444 3148449.2900104844),11,16
POINT (715065.0020715444 3148699.2900104844),11,16
POINT (715065.0020715444 3148949.2900104844),11,16
POINT (715065.0020715444 3149199.2900104844),11,16
POINT (715065.0020715444 3149449.2900104844),11,9
POINT (715065.0020715444 3149699.2900104844),11,16
POINT (715065.0020715444 3149949.2900104844),11,16
POINT (715065.0020715444 3150199.2900104844),11,16
POINT (715065.0020715444 3150449.2900104844),11,16
POINT (715065.0020715444 3150699.2900104844),11,16
POINT (715065.0020715444 3150949.2900104844),11,16
POINT (715065.0020715444 3151199.2900104844),11,16
POINT (715065.0020715444 3151449.2900104844),11,16
POINT (715065.0020715444 3151699.2900104844),11,16
POINT (715065.0020715444 3151949.2900104844),11,16
POINT (715065.0020715444 3152199.2900104844),11,16
POINT (715065.0020715444 3152449.2900104844),5,0
POINT (715065.0020715444 3152699.2900104844),19,16
POINT (715065.0020715444 3152949.2900104844),19,16
POINT (715065.0020715444 3153199.2900104844),19,16
POINT (715065.0020715444 3153449.2900104844),13,0
POINT (715065.0020715444 3153699.2900104844),11,16
POINT (715065.0020715444 3153949.2900104844),5,0
POINT (715065.0020715444 3154199.2900104844),11,16
POINT (715065.0020715444 3154449.2900104844),11,16
POINT (715065.0020715444 3154699.2900104844),19,16
POINT (715065.0020715444 3154949.2900104844),19,9
POINT (715065.0020715444 3155199.2900104844),11,16
POINT (715065.0020715444 3155449.2900104844),3,8
POINT (715065.0020715444 3155699.2900104844),11,16
POINT (715065.0020715444 3155949.2900104844),11,9
POINT (715065.0020715444 3156199.2900104844),6,11
POINT (715065.0020715444 3156449.2900104844),11,16
POINT (715065.0020715444 3156699.2900104844),11,9
POINT (715065.0020715444 3156949.2900104844),17,23
POINT (715065.0020715444 3157199.2900104844),2,20
POINT (715065.0020715444 3157449.2900104844),2,20
POINT (715065.0020715444 3157699.2900104844),11,4
POINT (715065.0020715444 3157949.2900104844),27,33
POINT (715065.0020715444 3158199.2900104844),2,20
POINT (715065.0020715444 3158449.2900104844),17,23
POINT (715065.0020715444 3158699.2900104844),17,23
POINT (715065.0020715444 3158949.2900104844),25,23
POINT (715065.0020715444 3159199.2900104844),19,16
POINT (715065.0020715444 3159449.2900104844),19,19
POINT (715065.0020715444 3159699.2900104844),26,27
POINT (715065.0020715444 3159949.2900104844),11,16
POINT (715065.0020715444 3160199.2900104844),11,16
POINT (715065.0020715444 3160449.2900104844),11,16
POINT (715065.0020715444 3160699.2900104844),-10,-5
POINT (715065.0020715444 3160949.2900104844),11,16
POINT (715065.0020715444 3161199.2900104844),11,16
POINT (715065.0020715444 3161449.2900104844),3,8
POINT (715315.0020715444 3144699.2900104844),-10,-10
POINT (715315.0020715444 3144949.2900104844),-10,-10
POINT (715315.0020715444 3145199.2900104844),-10,-10
POINT (715315.0020715444 3145449.2900104844),-10,-10
POINT (715315.0020715444 3145699.2900104844),-10,-10
POINT (715315.0020715444 3145949.2900104844),-10,-10
POINT (715315.0020715444 3146199.2900104844),-10,-10
POINT (715315.0020715444 3146449.2900104844),11,16
POINT (715315.0020715444 3146699.2900104844),11,16
POINT (715315.0020715444 3146949.2900104844),11,16
POINT (715315.0020715444 3147199.2900104844),11,16
POINT (715315.0020715444 3147449.2900104844),11,16
POINT (715315.0020715444 3147699.2900104844),13,17
POINT (715315.0020715444 3147949.2900104844),6,11
POINT (715315.0020715444 3148199.2900104844),5,0
POINT (715315.0020715444 3148449.2900104844),11,16
POINT (715315.0020715444 3148699.2900104844),11,16
POINT (715315.0020715444 3148949.2900104844),11,16
POINT (715315.0020715444 3149199.2900104844),11,16
POINT (715315.0020715444 3149449.2900104844),11,16
POINT (715315.0020715444 3149699.2900104844),11,16
POINT (715315.0020715444 3149949.2900104844),11,16
POINT (715315.0020715444 3150199.2900104844),11,16
POINT (715315.0020715444 3150449.2900104844),11,16
POINT (715315.0020715444 3150699.2900104844),11,16
POINT (715315.0020715444 3150949.2900104844),11,16
POINT (715315.0020715444 3151199.2900104844),11,16
POINT (715315.0020715444 3151449.2900104844),11,16
POINT (715315.0020715444 3151699.2900104844),11,16
POINT (715315.0020715444 3151949.2900104844),11,16
POINT (715315.0020715444 3152199.2900104844),11,16
POINT (715315.0020715444 3152449.2900104844),19,16
POINT (715315.0020715444 3152699.2900104844),19,16
POINT (715315.0020715444 3152949.2900104844),19,16
POINT (715315.0020715444 3153199.2900104844),19,16
POINT (715315.0020715444 3153449.2900104844),13,0
POINT (715315.0020715444 3153699.2900104844),13,0
POINT (715315.0020715444 3153949.2900104844),13,0
POINT (715315.0020715444 3154199.2900104844),19,16
POINT (715315.0020715444 3154449.2900104844),19,16
POINT (715315.0020715444 3154699.2900104844),19,16
POINT (715315.0020715444 3154949.2900104844),19,16
POINT (715315.0020715444 3155199.2900104844),11,16
POINT (715315.0020715444 3155449.2900104844),3,8
POINT (715315.0020715444 3155699.2900104844),11,16
POINT (715315.0020715444 3155949.2900104844),11,16
POINT (715315.0020715444 3156199.2900104844),11,16
POINT (715315.0020715444 3156449.2900104844),11,16
POINT (715315.0020715444 3156699.2900104844),11,16
POINT (715315.0020715444 3156949.2900104844),17,23
POINT (715315.0020715444 3157199.2900104844),11,4
POINT (715315.0020715444 3157449.2900104844),11,4
POINT (715315.0020715444 3157699.2900104844),11,7
POINT (715315.0020715444 3157949.2900104844),17,23
POINT (715315.0020715444 3158199.2900104844),10,17
POINT (715315.0020715444 3158449.2900104844),2,20
POINT (715315.0020715444 3158699.2900104844),2,20
POINT (715315.0020715444 3158949.2900104844),35,33
POINT (715315.0020715444 3159199.2900104844),25,23
POINT (715315.0020715444 3159449.2900104844),14,19
POINT (715315.0020715444 3159699.2900104844),19,19
POINT (715315.0020715444 3159949.2900104844),11,16
POINT (715315.0020715444 3160199.2900104844),11,16
POINT (715315.0020715444 3160449.2900104844),-4,11
POINT (715315.0020715444 3160699.2900104844),11,16
POINT (715315.0020715444 3160949.2900104844),11,16
POINT (715315.0020715444 3161199.2900104844),11,16
POINT (715565.0020715444 3144949.2900104844),-10,-10
POINT (715565.0020715444 3145199.2900104844),-10,-10
POINT (715565.0020715444 3145449.2900104844),-10,-10
POINT (715565.0020715444 3145699.2900104844),-10,-10
POINT (715565.0020715444 3145949.2900104844),-10,-10
POINT (715565.0020715444 3146199.2900104844),-10,-10
POINT (715565.0020715444 3146449.2900104844),11,16
POINT (715565.0020715444 3146699.2900104844),11,16
POINT (715565.0020715444 3146949.2900104844),11,9
POINT (715565.0020715444 3147199.2900104844),11,16
POINT (715565.0020715444 3147449.2900104844),11,16
POINT (715565.0020715444 3147699.2900104844),6,11
POINT (715565.0020715444 3147949.2900104844),6,11
POINT (715565.0020715444 3148199.2900104844),11,16
POINT (715565.0020715444 3148449.2900104844),11,16
POINT (715565.0020715444 3148699.2900104844),11,16
POINT (715565.0020715444 3148949.2900104844),5,0
POINT (715565.0020715444 3149199.2900104844),11,16
POINT (715565.0020715444 3149449.2900104844),1,22
POINT (715565.0020715444 3149699.2900104844),1,22
POINT (715565.0020715444 3149949.2900104844),11,16
POINT (715565.0020715444 3150199.2900104844),11,16
POINT (715565.0020715444 3150449.2900104844),11,16
POINT (715565.0020715444 3150699.2900104844),11,16
POINT (715565.0020715444 3150949.2900104844),11,16
POINT (715565.0020715444 3151199.2900104844),11,16
POINT (715565.0020715444 3151449.2900104844),11,16
POINT (715565.0020715444 3151699.2900104844),11,16
POINT (715565.0020715444 3151949.2900104844),11,16
POINT (715565.0020715444 3152199.2900104844),11,16
POINT (715565.0020715444 3152449.2900104844),19,16
POINT (715565.0020715444 3152699.2900104844),19,16
POINT (715565.0020715444 3152949.2900104844),19,16
POINT (715565.0020715444 3153199.2900104844),13,0
POINT (715565.0020715444 3153449.2900104844),13,0
POINT (715565.0020715444 3153699.2900104844),19,16
POINT (715565.0020715444 3153949.2900104844),19,16
POINT (715565.0020715444 3154199.2900104844),19,16
POINT (715565.0020715444 3154449.2900104844),19,16
POINT (715565.0020715444 3154699.2900104844),11,8
POINT (715565.0020715444 3154949.2900104844),11,16
POINT (715565.0020715444 3155199.2900104844),-4,6
POINT (715565.0020715444 3155449.2900104844),11,16
POINT (715565.0020715444 3155699.2900104844),11,16
POINT (715565.0020715444 3155949.2900104844),11,16
POINT (715565.0020715444 3156199.2900104844),11,16
POINT (715565.0020715444 3156449.2900104844),11,16
POINT (715565.0020715444 3156699.2900104844),17,23
POINT (715565.0020715444 3156949.2900104844),9,15
POINT (715565.0020715444 3157199.2900104844),2,20
POINT (715565.0020715444 3157449.2900104844),2,20
POINT (715565.0020715444 3157699.2900104844),18,17
POINT (715565.0020715444 3157949.2900104844),10,5
POINT (715565.0020715444 3158199.2900104844),17,23
POINT (715565.0020715444 3158449.2900104844),2,20
POINT (715565.0020715444 3158699.2900104844),2,20
POINT (715565.0020715444 3158949.2900104844),2,20
POINT (715565.0020715444 3159199.2900104844),10,5
POINT (715565.0020715444 3159449.2900104844),19,19
POINT (715565.0020715444 3159699.2900104844),11,19
POINT (715565.0020715444 3159949.2900104844),11,19
POINT (715565.0020715444 3160199.2900104844),11,19
POINT (715565.0020715444 3160449.2900104844),11,19
POINT (715565.0020715444 3160699.2900104844),11,16
POINT (715565.0020715444 3160949.2900104844),11,16
POINT (715565.0020715444 3161199.2900104844),11,16
POINT (715815.0020715444 3144949.2900104844),-10,-10
POINT (715815.0020715444 3145199.2900104844),-10,-10
POINT (715815.0020715444 3145449.2900104844),-10,-10
POINT (715815.0020715444 3145699.2900104844),-10,-10
POINT (715815.0020715444 3145949.2900104844),-10,-10
POINT (715815.0020715444 3146199.2900104844),1,6
POINT (715815.0020715444 3146449.2900104844),11,16
POINT (715815.0020715444 3146699.2900104844),11,16
POINT (715815.0020715444 3146949.2900104844),11,16
POINT (715815.0020715444 3147199.2900104844),11,16
POINT (715815.0020715444 3147449.2900104844),3,22
POINT (715815.0020715444 3147699.2900104844),6,11
POINT (715815.0020715444 3147949.2900104844),11,16
POINT (715815.0020715444 3148199.2900104844),11,16
POINT (715815.0020715444 3148449.2900104844),11,16
POINT (715815.0020715444 3148699.2900104844),11,16
POINT (715815.0020715444 3148949.2900104844),5,0
POINT (715815.0020715444 3149199.2900104844),11,16
POINT (715815.0020715444 3149449.2900104844),11,16
POINT (715815.0020715444 3149699.2900104844),1,22
POINT (715815.0020715444 3149949.2900104844),1,6
POINT (715815.0020715444 3150199.2900104844),-4,6
POINT (715815.0020715444 3150449.2900104844),1,6
POINT (715815.0020715444 3150699.2900104844),11,16
POINT (715815.0020715444 3150949.2900104844),11,16
POINT (715815.0020715444 3151199.2900104844),11,16
POINT (715815.0020715444 3151449.2900104844),11,16
POINT (715815.0020715444 3151699.2900104844),11,16
POINT (715815.0020715444 3151949.2900104844),11,16
POINT (715815.0020715444 3152199.2900104844),11,9
POINT (715815.0020715444 3152449.2900104844),11,16
POINT (715815.0020715444 3152699.2900104844),13,0
POINT (715815.0020715444 3152949.2900104844),13,0
POINT (715815.0020715444 3153199.2900104844),13,0
POINT (715815.0020715444 3153449.2900104844),19,16
POINT (715815.0020715444 3153699.2900104844),19,16
POINT (715815.0020715444 3153949.2900104844),19,16
POINT (715815.0020715444 3154199.2900104844),19,16
POINT (715815.0020715444 3154449.2900104844),19,16
POINT (715815.0020715444 3154699.2900104844),11,16
POINT (715815.0020715444 3154949.2900104844),11,16
POINT (715815.0020715444 3155199.2900104844),1,6
POINT (715815.0020715444 3155449.2900104844),1,6
POINT (715815.0020715444 3155699.2900104844),11,16
POINT (715815.0020715444 3155949.2900104844),11,16
POINT (715815.0020715444 3156199.2900104844),3,24
POINT (715815.0020715444 3156449.2900104844),11,16
POINT (715815.0020715444 3156699.2900104844),10,17
POINT (715815.0020715444 3156949.2900104844),9,12
POINT (715815.0020715444 3157199.2900104844),9,11
POINT (715815.0020715444 3157449.2900104844),9,11
POINT (715815.0020715444 3157699.2900104844),35,33
POINT (715815.0020715444 3157949.2900104844),10,5
POINT (715815.0020715444 3158199.2900104844),17,23
POINT (715815.0020715444 3158449.2900104844),2,20
POINT (715815.0020715444 3158699.2900104844),17,13
POINT (715815.0020715444 3158949.2900104844),2,15
POINT (715815.0020715444 3159199.2900104844),2,20
POINT (715815.0020715444 3159449.2900104844),11,19
POINT (715815.0020715444 3159699.2900104844),11,16
POINT (715815.0020715444 3159949.2900104844),11,16
POINT (715815.0020715444 3160199.2900104844),11,16
POINT (715815.0020715444 3160449.2900104844),11,19
POINT (715815.0020715444 3160699.2900104844),4,28
POINT (715815.0020715444 3160949.2900104844),16,29
POINT (715815.0020715444 3161199.2900104844),11,19
POINT (716065.0020715444 3144949.2900104844),-10,-10
POINT (716065.0020715444 3145199.2900104844),-10,-10
POINT (716065.0020715444 3145449.2900104844),-10,-10
POINT (716065.0020715444 3145699.2900104844),-10,-10
POINT (716065.0020715444 3145949.2900104844),-10,-10
POINT (716065.0020715444 3146199.2900104844),-5,-10
POINT (716065.0020715444 3146449.2900104844),1,6
POINT (716065.0020715444 3146699.2900104844),-10,-10
POINT (716065.0020715444 3146949.2900104844),1,6
POINT (716065.0020715444 3147199.2900104844),11,16
POINT (716065.0020715444 3147449.2900104844),3,22
POINT (716065.0020715444 3147699.2900104844),11,16
POINT (716065.0020715444 3147949.2900104844),11,16
POINT (716065.0020715444 3148199.2900104844),11,16
POINT (716065.0020715444 3148449.2900104844),11,16
POINT (716065.0020715444 3148699.2900104844),11,16
POINT (716065.0020715444 3148949.2900104844),11,16
POINT (716065.0020715444 3149199.2900104844),11,16
POINT (716065.0020715444 3149449.2900104844),11,16
POINT (716065.0020715444 3149699.2900104844),11,16
POINT (716065.0020715444 3149949.2900104844),-4,6
POINT (716065.0020715444 3150199.2900104844),-10,-10
POINT (716065.0020715444 3150449.2900104844),1,12
POINT (716065.0020715444 3150699.2900104844),1,22
POINT (716065.0020715444 3150949.2900104844),11,16
POINT (716065.0020715444 3151199.2900104844),11,16
POINT (716065.0020715444 3151449.2900104844),11,16
POINT (716065.0020715444 3151699.2900104844),11,16
POINT (716065.0020715444 3151949.2900104844),11,16
POINT (716065.0020715444 3152199.2900104844),11,16
POINT (716065.0020715444 3152449.2900104844),11,9
POINT (716065.0020715444 3152699.2900104844),1,6
POINT (716065.0020715444 3152949.2900104844),-2,-10
POINT (716065.0020715444 3153199.2900104844),4,6
POINT (716065.0020715444 3153449.2900104844),19,16
POINT (716065.0020715444 3153699.2900104844),19,16
POINT (716065.0020715444 3153949.2900104844),19,9
POINT (716065.0020715444 3154199.2900104844),19,16
POINT (716065.0020715444 3154449.2900104844),11,16
POINT (716065.0020715444 3154699.2900104844),11,16
POINT (716065.0020715444 3154949.2900104844),11,16
POINT (716065.0020715444 3155199.2900104844),11,16
POINT (716065.0020715444 3155449.2900104844),11,16
POINT (716065.0020715444 3155699.2900104844),11,16
POINT (716065.0020715444 3155949.2900104844),11,16
POINT (716065.0020715444 3156199.2900104844),11,16
POINT (716065.0020715444 3156449.2900104844),-4,6
POINT (716065.0020715444 3156699.2900104844),8,16
POINT (716065.0020715444 3156949.2900104844),2,20
POINT (716065.0020715444 3157199.2900104844),11,13
POINT (716065.0020715444 3157449.2900104844),2,20
POINT (716065.0020715444 3157699.2900104844),17,23
POINT (716065.0020715444 3157949.2900104844),2,20
POINT (716065.0020715444 3158199.2900104844),2,20
POINT (716065.0020715444 3158449.2900104844),17,23
POINT (716065.0020715444 3158699.2900104844),20,27
POINT (716065.0020715444 3158949.2900104844),12,15
POINT (716065.0020715444 3159199.2900104844),17,23
POINT (716065.0020715444 3159449.2900104844),11,19
POINT (716065.0020715444 3159699.2900104844),11,19
POINT (716065.0020715444 3159949.2900104844),11,19
POINT (716065.0020715444 3160199.2900104844),11,16
POINT (716065.0020715444 3160449.2900104844),11,16
POINT (716065.0020715444 3160699.2900104844),11,16
POINT (716065.0020715444 3160949.2900104844),11,16
POINT (716315.0020715444 3144949.2900104844),-10,-10
POINT (716315.0020715444 3145199.2900104844),-10,-10
POINT (716315.0020715444 3145449.2900104844),-10,-10
POINT (716315.0020715444 3145699.2900104844),-10,-10
POINT (716315.0020715444 3145949.2900104844),-10,-10
POINT (716315.0020715444 3146199.2900104844),-10,-10
POINT (716315.0020715444 3146449.2900104844),-10,-10
POINT (716315.0020715444 3146699.2900104844),-10,-10
POINT (716315.0020715444 3146949.2900104844),-10,-10
POINT (716315.0020715444 3147199.2900104844),11,16
POINT (716315.0020715444 3147449.2900104844),11,16
POINT (716315.0020715444 3147699.2900104844),11,16
POINT (716315.0020715444 3147949.2900104844),11,16
POINT (716315.0020715444 3148199.2900104844),11,16
POINT (716315.0020715444 3148449.2900104844),11,16
POINT (716315.0020715444 3148699.2900104844),11,16
POINT (716315.0020715444 3148949.2900104844),11,16
POINT (716315.0020715444 3149199.2900104844),11,16
POINT (716315.0020715444 3149449.2900104844),11,16
POINT (716315.0020715444 3149699.2900104844),11,16
POINT (716315.0020715444 3149949.2900104844),-10,-10
POINT (716315.0020715444 3150199.2900104844),-10,-10
POINT (716315.0020715444 3150449.2900104844),-10,-10
POINT (716315.0020715444 3150699.2900104844),0,-4
POINT (716315.0020715444 3150949.2900104844),11,16
POINT (716315.0020715444 3151199.2900104844),11,16
